"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"India","IND","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.83843","14.40171","13.3116","","10.98533","","","","","","7.27265","7.19477","8.65108","9.0891","","","",
"Not classified","INX","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.23651","10.78172","10.85487","11.46212","11.84203","12.89713","13.64595","14.02486","14.35025","15.30976","18.13639","20.17946","19.54493","18.7007","19.08734","","","",
"Iran, Islamic Rep.","IRN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.39779","11.38172","11.24053","11.66812","11.8403","16.77745","17.62767","15.56244","14.42713","13.73117","14.45335","11.04064","8.45427","8.52818","",
"Iraq","IRQ","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.45114","21.58381","20.96573","24.50451","23.4572","23.60989","24.85569","25.42088","24.89424","25.59191","25.65205","25.07641","25.67951","","","","",
"Israel","ISR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.29832","20.28154","22.03258","22.67327","21.9739","21.12832","20.9262","20.82167","20.01367","20.11081","20.05987","21.6194","22.69348","","","","",
"Italy","ITA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.19648","23.10399","22.27332","22.78178","23.47265","24.08902","23.62787","21.83874","23.68157","21.39781","23.08066","23.93076","22.81787","21.50026","20.66145","","","",
"Jamaica","JAM","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.46754","10.11614","12.7532","","17.33665","15.81638","17.61464","21.07242","20.63229","21.68875","22.49836","22.22289","",
"Jordan","JOR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.31063","13.65542","","","14.37036","15.77471","14.54817","15.43666","12.84265","12.56809","12.32949","","","12.24048","","","","",
"Japan","JPN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.82051","20.77577","21.32105","21.56811","22.13843","22.58453","22.33826","21.97623","21.84682","21.74553","21.62703","","23.81039","23.48148","23.79371","23.91826","","",
"Kazakhstan","KAZ","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31296","0.38137","",
"Kenya","KEN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.37795","20.90685","","23.21593","24.15592","","22.37319","","","","","","","","","",
"Kyrgyz Republic","KGZ","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodia","KHM","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.07554","","5.67726","6.57734","5.14623","","","","","","","","6.88351","","","","","",
"Kiribati","KIR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.98797","24.70337","22.10054","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.369","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.34336","16.86822","","14.88977","14.78532","16.65148","17.05331","16.48927","16.18654","15.94777","19.22205","22.67065","","","","23.45917","","",
"Kosovo","KSV","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.67054","16.3827","16.1747","13.92749","10.17586","8.6651","","10.44149","","","17.42637","","","","",
"Latin America & Caribbean (developing only)","LAC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27247","","","9.81286","","","","","","","","","","",
"Lebanon","LBN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.85467","","","","13.46086","13.41522","","","","","13.78372","15.77275","17.02971","15.90136","17.97118","18.12766","",
"Latin America & Caribbean (all income levels)","LCN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.08297","10.72728","","9.93524","9.24041","10.49201","","20.98889","17.83529","","","","",
"Sri Lanka","LKA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.34843","5.90962","5.80979","4.77955","","","",
"Lower middle income","LMC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.65706","28.17484","25.91588","","","","28.50269","25.35867","","22.79359","","","","","","","",
"Lithuania","LTU","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.68739","52.74655","54.4347","51.43661","58.67046","61.00482","77.41897","70.64836","","","","",
"Luxembourg","LUX","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.54926","","24.75712","24.99229","","","","",
"Latvia","LVA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.89715","11.92719","10.95806","10.97146","12.4061","12.33945","12.80708","","23.45219","14.70985","18.79546","20.71264","18.68878","17.46148","16.20134","","","",
"Macao SAR, China","MAC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.34131","","6.59685","7.71182","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.81083","17.36086","18.05656","16.79158","16.98315","16.4873","16.56615","20.16053","17.19626","14.36475","16.01372","16.73349","17.99167","18.04977","18.99749","19.68237","","",
"Monaco","MCO","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.28124","3.23924","3.15949","","","","3.4866","","","","","3.95371","4.07631","4.0047","","","","",
"Moldova","MDA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.61991","33.63929","41.71911","41.41951","41.52571","39.31168","","43.74291","",
"Madagascar","MDG","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.89528","","","","","","","11.21119","9.79933","9.30506","7.72801","7.87443","","6.59146","6.55103","","","",
"Maldives","MDV","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6301","11.89835","14.50637","13.81076","","16.09451","","","","","","","",
"Middle East & North Africa (all income levels)","MEA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.58724","10.28669","11.73518","12.4787","13.06169","14.81889","14.20954","14.44772","14.13925","14.04366","14.13852","14.80303","14.77504","14.60201","","","","",
"Marshall Islands","MHL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.48189","","","","","","","","","","","","","",
"Middle income","MIC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macedonia, FYR","MKD","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mali","MLI","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9955","13.89282","","","","","","","","","10.73484","13.62216","6.63828","11.99989","11.27204","11.4219","13.53015","",
"Malta","MLT","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.12098","","","","13.05718","","13.05996","","","20.11274","20.6636","20.00539","24.82125","20.36213","27.34301","","","",
"Myanmar","MMR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (developing only)","MNA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.48283","","","13.58936","","14.90143","12.37069","15.64365","","","","",
"Northern Mariana Islands","MNP","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.95993","","","","","","15.16645","15.45952","","",
"Mauritania","MRT","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.06105","","","","","","8.70683","","","10.94436","","11.64027","9.58416","9.7137","9.67626","","",
"Mauritius","MUS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.30786","8.58437","13.08785","12.86991","11.27861","10.13933","","9.47486","8.81403","10.49518","9.97514","10.17625","11.65332","13.53424","",
"Malawi","MWI","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.50929","11.3268","8.1125","","","","","","","","","6.45762","7.81163","","11.38614","13.59245","",
"Malaysia","MYS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.55696","16.41224","19.37733","17.88944","14.06436","","10.17037","10.85495","13.08947","14.22775","12.78809","15.43047","","17.45373","","",
"North America","NAC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.76133","19.91573","19.80586","19.73048","18.67751","","13.59854","18.43151","","15.6823","","17.60071","","","","","",
"New Caledonia","NCL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.92931","","","28.14328","32.39912","26.94625","28.26041","20.95789","20.49726","18.80699","21.5198","28.79227","",
"Nigeria","NGA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85009","7.67848","7.67594","","","","11.27444","","","","","",
"Netherlands","NLD","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.35908","14.17874","14.38617","15.43429","16.56954","17.59467","17.19997","17.22981","16.55176","15.79205","16.08222","17.50793","17.34238","16.92238","17.19481","","","",
"High income: nonOECD","NOC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Norway","NOR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.38928","","","","20.02783","20.84973","19.58362","18.49543","17.75926","17.8635","17.59927","20.93096","20.7534","19.60648","19.25341","","","",
"Nepal","NPL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6364","9.82682","13.1371","11.45984","10.78983","","","","","13.93978","16.12062","","","","","15.08101","",
"New Zealand","NZL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.59182","19.60984","19.75136","18.56538","18.19796","18.7546","18.69358","17.0854","17.03622","15.00449","17.60576","21.27326","21.1338","23.8274","","","",
"High income: OECD","OEC","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1286","10.31867","","10.77662","14.75874","","","14.36397","","","","12.16837","","14.53587","","","","",
"Other small states","OSS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.04399","8.08396","",
"Panama","PAN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.15147","14.46447","11.0863","10.78043","","10.05187","","","12.14631","","","","6.57552","","","","",
"Peru","PER","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88051","8.52279","8.22001","7.29097","6.56519","6.77324","7.30717","6.97273","7.53562","7.62525","8.5476","9.65647","8.82699","8.39982","9.22121","11.14405","12.3835","",
"Philippines","PHL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.02267","11.31083","10.75915","11.41175","8.98081","8.32388","","8.68041","9.00382","","","","","","","",
"Palau","PLW","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.40313","22.79374","22.71006","23.67164","24.93106","24.1309","25.29158","25.94946","26.92179","25.92776","","","","",
"Puerto Rico","PRI","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.83151","","",
"Korea, Dem. People’s Rep.","PRK","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.67572","19.60965","20.90474","22.03138","21.84028","21.78473","21.67935","20.76202","19.2106","18.97337","21.35387","21.00495","20.76488","","","","",
"Paraguay","PRY","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74134","11.35019","10.51855","11.13837","9.97529","","","9.52282","","","11.16627","12.03329","15.14728","","","",
"Pacific island small states","PSS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"French Polynesia","PYF","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66652","","","","","","",
"Romania","ROU","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.93395","9.76206","10.514","","19.22053","","18.59013","13.90702","11.84678","11.80927","","","",
"Russian Federation","RUS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Rwanda","RWA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.56977","","","","","8.9865","","9.17752","8.04863","","8.32789","6.94499","8.01472","7.2211","","",
"South Asia","SAS","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saudi Arabia","SAU","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.17398","","","","","","","","",
"Sudan","SDN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.67267","","","","","","","16.76171","16.99437","","17.15226","18.34218","16.9638","","","","","",
"Singapore","SGP","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.51726","10.58553","10.96166","","","","","",
"Solomon Islands","SLB","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.91228","6.81423","5.44082","","",
"El Salvador","SLV","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.59863","8.57906","8.54524","","10.23046","9.36178","","8.09431","8.59116","8.07162","8.79941","12.26187","9.8443","","","","","",
"San Marino","SMR","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.39215","16.96116","","","","",
"Somalia","SOM","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.79242","56.39391","58.06676","54.15722","50.95265","","","","",
"Sub-Saharan Africa (developing only)","SSA","Government expenditure per primary student as % of GDP per capita (%)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
